,BTC,ETH,BNB,XRP,HEX,ADA,DOGE,SOL,date
0,6865.4931640625,158.41244506835938,13.737724304199219,0.18746399879455566,0.0004250000056345016,0.0332150012254715,0.0019680000841617584,0.9510539770126343,2020-04-10
1,6859.0830078125,158.2160186767578,13.804287910461426,0.18806299567222595,0.0004959999932907522,0.03335399925708771,0.001990000018849969,0.7768189907073975,2020-04-11
2,6971.091796875,161.14242553710938,14.375110626220703,0.19013500213623047,0.0005719999899156392,0.03380599990487099,0.001990000018849969,0.8825070261955261,2020-04-12
3,6845.03759765625,156.27955627441406,15.03442668914795,0.18773199617862701,0.000506000011228025,0.03310700133442879,0.001959000015631318,0.7778319716453552,2020-04-13
4,6842.427734375,157.5963897705078,15.525075912475586,0.18533499538898468,0.0005489999894052744,0.0329740010201931,0.001964000053703785,0.6619250178337097,2020-04-14
5,6642.10986328125,153.28689575195312,14.593927383422852,0.18127000331878662,0.0005360000068321824,0.031863000243902206,0.0019399999873712659,0.646651029586792,2020-04-15
6,7116.80419921875,172.15737915039062,15.702730178833008,0.19010399281978607,0.0005600000149570405,0.034407999366521835,0.0020280000753700733,0.6908159852027893,2020-04-16
7,7096.1845703125,171.63858032226562,15.735082626342773,0.190201997756958,0.0006590000120922923,0.03457299992442131,0.0020129999611526728,0.6607279777526855,2020-04-17
8,7257.6650390625,186.91400146484375,16.593172073364258,0.194924995303154,0.0010870000114664435,0.036552999168634415,0.002061000093817711,0.6810960173606873,2020-04-18
9,7189.4248046875,181.61495971679688,16.13993263244629,0.19085900485515594,0.0015450000064447522,0.035815998911857605,0.0020580000709742308,0.6069689989089966,2020-04-19
10,6881.95849609375,172.2971649169922,15.085403442382812,0.18348999321460724,0.0017750000115484,0.03417700156569481,0.001981999957934022,0.538811981678009,2020-04-20
11,6880.3232421875,172.73770141601562,15.205772399902344,0.18432800471782684,0.0024580000899732113,0.034699998795986176,0.0019710001070052385,0.5876590013504028,2020-04-21
12,7117.20751953125,182.59957885742188,15.693160057067871,0.18796999752521515,0.002788000041618943,0.03655900061130524,0.002010999945923686,0.6916009783744812,2020-04-22
13,7429.724609375,185.02867126464844,16.006208419799805,0.19171099364757538,0.0023620000574737787,0.04060500115156174,0.0020469999872148037,0.6274570226669312,2020-04-23
14,7550.90087890625,189.2369384765625,16.01641845703125,0.19366499781608582,0.0021200000774115324,0.041868001222610474,0.002102999947965145,0.6342419981956482,2020-04-24
15,7569.93603515625,195.5153045654297,16.305418014526367,0.19505399465560913,0.0024160000029951334,0.04240800067782402,0.002142000012099743,0.6433290243148804,2020-04-25
16,7679.8671875,197.31753540039062,16.38376808166504,0.19680500030517578,0.0029319999739527702,0.045878998935222626,0.00240899994969368,0.6355059742927551,2020-04-26
17,7795.60107421875,197.22471618652344,16.463214874267578,0.19797800481319427,0.0027660001069307327,0.04660100117325783,0.002355000004172325,0.5723720192909241,2020-04-27
18,7807.05859375,198.41539001464844,16.444286346435547,0.21548399329185486,0.002902999985963106,0.04719499871134758,0.002339000115171075,0.6612930297851562,2020-04-28
19,8801.0380859375,216.96823120117188,17.4937744140625,0.2274319976568222,0.003548000007867813,0.051695000380277634,0.002517000073567033,0.7458400130271912,2020-04-29
20,8658.5537109375,207.60205078125,17.03397560119629,0.21276099979877472,0.004139000084251165,0.047846000641584396,0.0024429999757558107,0.6910449862480164,2020-04-30
21,8864.7666015625,214.21910095214844,17.564992904663086,0.2192479968070984,0.0045540002174675465,0.051259998232126236,0.0024939998984336853,0.7287939786911011,2020-05-01
22,8988.5966796875,215.32537841796875,17.584903717041016,0.2239139974117279,0.004894999787211418,0.0510139986872673,0.002549000084400177,0.7158759832382202,2020-05-02
23,8897.46875,210.9331512451172,17.126298904418945,0.21941399574279785,0.004548000171780586,0.04892899841070175,0.0025100000202655792,0.6795349717140198,2020-05-03
24,8912.654296875,208.17401123046875,17.10075569152832,0.21896299719810486,0.005154999904334545,0.04966399818658829,0.002481000032275915,0.6674910187721252,2020-05-04
25,9003.0703125,206.77439880371094,16.919775009155273,0.21646299958229065,0.005659000016748905,0.04935799911618233,0.0024840000551193953,0.6418370008468628,2020-05-05
26,9268.76171875,204.0557861328125,16.657045364379883,0.21521000564098358,0.005607999861240387,0.04976699873805046,0.0025289999321103096,0.6225839853286743,2020-05-06
27,9951.5185546875,212.28941345214844,17.013198852539062,0.21891699731349945,0.00610999995842576,0.05110599845647812,0.00266400002874434,0.6129779815673828,2020-05-07
28,9842.666015625,212.9915771484375,17.24147605895996,0.21982699632644653,0.005311999935656786,0.052303001284599304,0.002624999964609742,0.6049219965934753,2020-05-08
29,9593.896484375,211.60012817382812,16.93596076965332,0.2169020026922226,0.0054339999333024025,0.051736000925302505,0.0026130001060664654,0.6045269966125488,2020-05-09
30,8756.4306640625,188.5995635986328,15.295668601989746,0.19817599654197693,0.005590000189840794,0.04767699912190437,0.0024590000975877047,0.5370339751243591,2020-05-10
31,8601.7958984375,185.912841796875,15.09754467010498,0.19406400620937347,0.005516999866813421,0.04810800030827522,0.0024129999801516533,0.5152729749679565,2020-05-11
32,8804.4775390625,189.3125,15.741053581237793,0.19763700664043427,0.005671000108122826,0.05042099952697754,0.0024629998952150345,0.5385760068893433,2020-05-12
33,9269.9873046875,199.1932830810547,16.138877868652344,0.20148000121116638,0.006345999892801046,0.051472000777721405,0.0025210001040250063,0.5505319833755493,2020-05-13
34,9733.7216796875,202.9490966796875,16.357799530029297,0.20312899351119995,0.0061160000041127205,0.0508899986743927,0.0025740000419318676,0.5691180229187012,2020-05-14
