date,BTC_0.5,ETH_0.5,BNB_0.5,XRP_0.5,HEX_0.5,ADA_0.5,DOGE_0.5,SOL_0.5
2023-03-08,22152.44140625,1556.6668701171875,286.3650207519531,0.37991011142730713,0.06386259943246841,0.329906165599823,0.07078495621681213,20.616113662719727
2023-03-09,21985.77734375,1549.1282958984375,284.8427429199219,0.3705168664455414,0.062389761209487915,0.3307231366634369,0.06803973019123077,20.891637802124023
2023-03-10,21891.685546875,1533.783447265625,276.4975891113281,0.35981619358062744,0.06144304201006889,0.3343620300292969,0.06770052760839462,20.674352645874023
2023-03-11,21776.763671875,1544.935791015625,277.19061279296875,0.3595060706138611,0.06114614009857178,0.33829745650291443,0.06548058986663818,21.11081886291504
2023-03-12,21424.435546875,1511.7677001953125,274.0445556640625,0.3493613302707672,0.060191504657268524,0.335246741771698,0.0647309273481369,20.493806838989258
2023-03-13,21627.158203125,1530.22216796875,283.4933166503906,0.3635505735874176,0.06277314573526382,0.33631664514541626,0.06384526938199997,20.644641876220703
2023-03-14,21646.919921875,1529.0142822265625,278.53857421875,0.3534415364265442,0.06338297575712204,0.33598875999450684,0.06428980082273483,20.377233505249023
2023-03-15,21499.96875,1506.9404296875,272.7301940917969,0.3432314693927765,0.061927009373903275,0.3314417600631714,0.06683783233165741,20.1536808013916
2023-03-16,21424.2734375,1498.16015625,268.5478210449219,0.33706679940223694,0.060465604066848755,0.32962241768836975,0.06713330745697021,20.094017028808594
2023-03-17,21572.447265625,1492.4146728515625,263.70037841796875,0.3282665014266968,0.05906197428703308,0.3281717002391815,0.07013026624917984,19.888309478759766
2023-03-18,21522.88671875,1482.0885009765625,259.41082763671875,0.3266945779323578,0.05705738440155983,0.32687029242515564,0.06755755096673965,20.200302124023438
2023-03-19,21346.041015625,1475.5867919921875,257.06201171875,0.31831249594688416,0.05563404783606529,0.3279246985912323,0.06499176472425461,20.447467803955078
2023-03-20,21135.73828125,1453.9642333984375,247.3986358642578,0.3073812425136566,0.054415471851825714,0.3298311233520508,0.0648752823472023,20.186237335205078
2023-03-21,20965.3515625,1459.5712890625,247.28306579589844,0.30592572689056396,0.053673867136240005,0.33383816480636597,0.06264664977788925,20.484251022338867
2023-03-22,20660.955078125,1424.9581298828125,244.1201171875,0.2966875433921814,0.05241238698363304,0.33153146505355835,0.06167759373784065,19.74005699157715
2023-03-23,20804.458984375,1446.65625,254.8115997314453,0.30914106965065,0.0548342801630497,0.33164164423942566,0.060631562024354935,19.998573303222656
2023-03-24,20764.65625,1436.93505859375,248.5874481201172,0.2985687255859375,0.05436182767152786,0.32919007539749146,0.061314526945352554,19.655210494995117
2023-03-25,20572.697265625,1408.9437255859375,241.20751953125,0.2878432273864746,0.052641890943050385,0.3248622417449951,0.06381399929523468,19.293867111206055
2023-03-26,20507.435546875,1398.28271484375,235.85458374023438,0.28111883997917175,0.05074696987867355,0.32134437561035156,0.06386253982782364,19.121498107910156
2023-03-27,20520.56640625,1382.5968017578125,228.87562561035156,0.2715831696987152,0.04975514858961105,0.31898877024650574,0.06704390048980713,18.802814483642578
2023-03-28,20495.171875,1373.1583251953125,224.42306518554688,0.26912921667099,0.048477184027433395,0.31860119104385376,0.06440713256597519,19.13921546936035
2023-03-29,20327.89453125,1367.880615234375,222.0137481689453,0.2615879774093628,0.04737066850066185,0.320048451423645,0.06189170479774475,19.422075271606445
2023-03-30,20152.486328125,1350.768798828125,213.2918243408203,0.2514216899871826,0.04679492861032486,0.3227473497390747,0.06177230551838875,19.230823516845703
2023-03-31,20001.767578125,1356.3671875,213.77996826171875,0.2506082057952881,0.04649857059121132,0.3271133303642273,0.05959932878613472,19.52485466003418
2023-04-01,19708.337890625,1322.4259033203125,210.61489868164062,0.24240833520889282,0.0458470843732357,0.3249541223049164,0.05877810716629028,18.869661331176758
2023-04-02,19814.44140625,1345.2225341796875,221.29432678222656,0.2541258931159973,0.04776078835129738,0.324463427066803,0.05780435726046562,19.06080436706543
2023-04-03,19762.748046875,1336.6690673828125,215.29737854003906,0.244627445936203,0.04785173013806343,0.3229568600654602,0.05838795751333237,18.766178131103516
2023-04-04,19595.849609375,1309.7762451171875,208.05479431152344,0.23449082672595978,0.04697072133421898,0.31925976276397705,0.060755591839551926,18.49631690979004
2023-04-05,19495.63671875,1299.637451171875,203.0135498046875,0.22796228528022766,0.04573822021484375,0.3162444829940796,0.060983914881944656,18.393089294433594
2023-04-06,19569.318359375,1287.125732421875,196.88641357421875,0.21956270933151245,0.04494393244385719,0.31494811177253723,0.06390120834112167,18.12898063659668
